MFGORDTYP,MFGORD,Material,MFGPLANT,Production Date,MFGORDACTLSTARTDT,Hold Date,MFGYEAR,PlantName,WorkCenterText,Disposition,MaterialName,MaterialType,MaterialTypeName,MaterialGroupName,Inv_C,PMIC,SKUCRTDT,CS,PAK,Bottle_Code,Item Description ,Unit_Sz_Desc,Label_Flavor_C,Prod_Color_C,Plan_Brand_C,Plan_Brand_Desc,PKGFMT,PKGFMT_D,PAKATTR,PAKATTR_D,CLOS_RPA_ID,Item Type,Line_of_Business_Desc,Cases Reworked,casesProduced,Cost,BatchNumber,DEFECT_CODE,DEFECT_TEXT,KURZTEXT,Origin Plant,SRC,SRCORDTYP,SRCORDERNO,SRCMATERIAL,SRCBATCH,SRCPLANT,WORKCENTER,SRCRCPTQTY,VENDOR,VENDORNAME,BATCH_CRTDT,BATCH_EXPIREDT,BATCH_SHIPBYDT,ORD_LONG_TEXT,RUNTIMESTAMP,Year,Cateogry,SubCat,GroupedCat,Site,WO Sum,Month,Quarter,Rework Lag,L1 Root Cause,L2 Root Cause,Rework Cost,Release Rate
ZP03,3097995,210068733,1151,12/21/2023,1/26/2024,1/26/2024,2024,Gallo Winery CDC Modesto,Rework Non Value Add 01,Rework,COLWNY CLV CABSV 750ML 12EA V20 OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003488OS,44830,12,,5160,750ML 9.0L STGOBAIN REVTAPER,750ML,CAB,RED,COL,COLUMBIA WINERY,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CPSL,CLOSURE CAPSULE,Commercial,"2,174",168,"1,038.52",20231211H1,WCPR,WINE,P-CASE PRINT,1155,WO,ZP01,3096879,210068733,20231211H1,1160,WAH1,6374,,,12/11/2023,12/9/2028,12/9/2028,"Event#3536216
P-Case Print
LOT DATE: 20231207, 20231208 and 20231211
White Wine description was inadvertently printed on the Markem.
APPLY NEW MARKEM",12/23/2025 9:44,2024,Prod,Identification,P-CASE PRINT,Mod,0.5,1,1,46,Machine,Other,,
ZP03,3097995,210068733,1151,12/21/2023,1/26/2024,1/26/2024,2024,Gallo Winery CDC Modesto,Rework Non Value Add 01,Rework,COLWNY CLV CABSV 750ML 12EA V20 OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003488OS,44830,12,,5160,750ML 9.0L STGOBAIN REVTAPER,750ML,CAB,RED,COL,COLUMBIA WINERY,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CPSL,CLOSURE CAPSULE,Commercial,"2,174","10,800","66,762.30",20231208H1,WCPR,WINE,P-CASE PRINT,1155,WO,ZP01,3096879,210068733,20231208H1,1160,WAH1,6374,,,12/8/2023,12/6/2028,12/6/2028,"Event#3536216
P-Case Print
LOT DATE: 20231207, 20231208 and 20231211
White Wine description was inadvertently printed on the Markem.
APPLY NEW MARKEM",12/23/2025 9:44,2024,Prod,Identification,P-CASE PRINT,Mod,0.5,1,1,49,Machine,Other,,
ZP03,3098191,210074869,1151,12/22/2023,1/10/2024,1/16/2024,2024,Gallo Winery CDC Modesto,Rework Non Value Add 01,Rework,ORNSWFT CAL MCHTRDN 750ML 12EA V22 PIR,ZFRT,Finished Products,Gallo Finished Good,PIR,000000000000004341PIR,45008,12,,3977,750ML BURGUNDY 1859 - SAVER,750ML,MAC,RED,OSC,ORIN SWIFT CELLARS,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CPSL,CLOSURE CAPSULE,Luxury,"1,539","1,188","19,208.52",2023121888,WPFO,WINE,H-POSSIBLE FOREIGN OBJECT,1155,WO,ZP01,3097350,210074869,2023121888,1109,LN88,3200,,,12/18/2023,12/16/2028,12/16/2028,INVERTING,12/23/2025 9:44,2024,Prod,Liquid,H-FOREIGN OBJECT DETECTED,Mod,0.5,1,1,29,Procedure,Inverting,,
ZP03,3098191,210074869,1151,12/22/2023,1/10/2024,1/16/2024,2024,Gallo Winery CDC Modesto,Rework Non Value Add 01,Rework,ORNSWFT CAL MCHTRDN 750ML 12EA V22 PIR,ZFRT,Finished Products,Gallo Finished Good,PIR,000000000000004341PIR,45008,12,,3977,750ML BURGUNDY 1859 - SAVER,750ML,MAC,RED,OSC,ORIN SWIFT CELLARS,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CPSL,CLOSURE CAPSULE,Luxury,"1,539","15,360","248,352.65",2023121988,WPFO,WINE,H-POSSIBLE FOREIGN OBJECT,1155,WO,ZP01,3097350,210074869,2023121988,1109,LN88,3200,,,12/19/2023,12/17/2028,12/17/2028,INVERTING,12/23/2025 9:44,2024,Prod,Liquid,H-FOREIGN OBJECT DETECTED,Mod,0.5,1,1,28,Procedure,Inverting,,
ZP03,3099226,210069857,1119,1/15/2024,2/8/2024,2/8/2024,2024,Gallo RDC AL BWC-AL-21001,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,680,"1,632","4,771.48",20231120CE,SLBL,SPRT,P-LABEL,1128,WO,ZP01,3096333,210069857,20231120CE,1178,CCCE,7893,,,11/20/2023,11/14/2024,11/14/2024,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC AL,0.333333333,2,1,80,Material,UPC Issue,,
ZP03,3099226,210069857,1119,1/15/2024,2/8/2024,2/8/2024,2024,Gallo RDC AL BWC-AL-21001,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,680,"6,528","19,085.92",20231121CE,SLBL,SPRT,P-LABEL,1178,WO,ZP01,3096333,210069857,20231121CE,1178,CCCE,7893,,,11/21/2023,1/14/2025,1/14/2025,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC AL,0.333333333,2,1,79,Material,UPC Issue,,
ZP03,3099226,210069857,1119,1/15/2024,2/8/2024,2/8/2024,2024,Gallo RDC AL BWC-AL-21001,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,680,"6,528","19,085.92",20231121CE,SLBL,SPRT,P-LABEL,1128,WO,ZP01,3096333,210069857,20231121CE,1178,CCCE,7893,,,11/21/2023,1/14/2025,1/14/2025,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC AL,0.333333333,2,1,79,Material,UPC Issue,,
ZP03,3099227,210069857,1120,1/15/2024,2/9/2024,2/8/2024,2024,Gallo RDC TX  BWC-TX-101,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,544,"4,896","14,314.44",20231120CE,SLBL,SPRT,P-LABEL,1128,WO,ZP01,3096333,210069857,20231120CE,1178,CCCE,7893,,,11/20/2023,11/14/2024,11/14/2024,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC TX,0.333333333,2,1,80,Material,UPC Issue,,
ZP03,3099227,210069857,1120,1/15/2024,2/9/2024,2/8/2024,2024,Gallo RDC TX  BWC-TX-101,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,544,"1,632","4,771.48",20231121CE,SLBL,SPRT,P-LABEL,1178,WO,ZP01,3096333,210069857,20231121CE,1178,CCCE,7893,,,11/21/2023,1/14/2025,1/14/2025,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC TX,0.333333333,2,1,79,Material,UPC Issue,,
ZP03,3099227,210069857,1120,1/15/2024,2/9/2024,2/8/2024,2024,Gallo RDC TX  BWC-TX-101,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,544,"1,632","4,771.48",20231121CE,SLBL,SPRT,P-LABEL,1128,WO,ZP01,3096333,210069857,20231121CE,1178,CCCE,7893,,,11/21/2023,1/14/2025,1/14/2025,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC TX,0.333333333,2,1,79,Material,UPC Issue,,
ZP03,3099228,210069857,1121,1/15/2024,2/9/2024,2/8/2024,2024,Gallo RDC MO BWC-MO-15004,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,952,"11,412","33,365.28",20231121CE,SLBL,SPRT,P-LABEL,1178,WO,ZP01,3096333,210069857,20231121CE,1178,CCCE,7893,,,11/21/2023,1/14/2025,1/14/2025,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC MO,0.5,2,1,79,Material,UPC Issue,,
ZP03,3099228,210069857,1121,1/15/2024,2/9/2024,2/8/2024,2024,Gallo RDC MO BWC-MO-15004,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,952,"11,412","33,365.28",20231121CE,SLBL,SPRT,P-LABEL,1128,WO,ZP01,3096333,210069857,20231121CE,1178,CCCE,7893,,,11/21/2023,1/14/2025,1/14/2025,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC MO,0.5,2,1,79,Material,UPC Issue,,
ZP03,3099229,210069857,1122,1/15/2024,2/15/2024,2/15/2024,2024,Gallo RDC MA BWC-MA-21002,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,187,612,"1,789.30",20231120CE,SLBL,SPRT,P-LABEL,1128,WO,ZP01,3096333,210069857,20231120CE,1178,CCCE,7893,,,11/20/2023,11/14/2024,11/14/2024,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC MA,1,2,1,87,Material,UPC Issue,,
ZP03,3099230,210069857,1123,1/15/2024,2/8/2024,2/8/2024,2024,Gallo RDC FL BWC-FL-15003,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,443,"5,316","15,542.39",20231121CE,SLBL,SPRT,P-LABEL,1178,WO,ZP01,3096333,210069857,20231121CE,1178,CCCE,7893,,,11/21/2023,1/14/2025,1/14/2025,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC FL,0.5,2,1,79,Material,UPC Issue,,
ZP03,3099230,210069857,1123,1/15/2024,2/8/2024,2/8/2024,2024,Gallo RDC FL BWC-FL-15003,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,443,"5,316","15,542.39",20231121CE,SLBL,SPRT,P-LABEL,1128,WO,ZP01,3096333,210069857,20231121CE,1178,CCCE,7893,,,11/21/2023,1/14/2025,1/14/2025,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC FL,0.5,2,1,79,Material,UPC Issue,,
ZP03,3099231,210069857,1125,1/15/2024,2/7/2024,2/8/2024,2024,Gallo RDC PA BWC-PA-241,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,"2,193","13,056","38,171.84",20231120CE,SLBL,SPRT,P-LABEL,1128,WO,ZP01,3096333,210069857,20231120CE,1178,CCCE,7893,,,11/20/2023,11/14/2024,11/14/2024,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC PA,0.333333333,2,1,80,Material,UPC Issue,,
ZP03,3099231,210069857,1125,1/15/2024,2/7/2024,2/8/2024,2024,Gallo RDC PA BWC-PA-241,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,"2,193","32,844","96,026.01",20231121CE,SLBL,SPRT,P-LABEL,1178,WO,ZP01,3096333,210069857,20231121CE,1178,CCCE,7893,,,11/21/2023,1/14/2025,1/14/2025,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC PA,0.333333333,2,1,79,Material,UPC Issue,,
ZP03,3099231,210069857,1125,1/15/2024,2/7/2024,2/8/2024,2024,Gallo RDC PA BWC-PA-241,Rework Non Value Add 01,Rework,NAMSDMV PINFLVD 750ML 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003777OS,44861,12,,2075,VERALIA 750ML GIN/VODKA 30X60,750ML,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,"2,193","32,844","96,026.01",20231121CE,SLBL,SPRT,P-LABEL,1128,WO,ZP01,3096333,210069857,20231121CE,1178,CCCE,7893,,,11/21/2023,1/14/2025,1/14/2025,"the UPC barcode on the back label is incorrect ... This issue is on production
dates of 112023 & 112123.
using tape to re-seal the cases",12/23/2025 9:44,2024,Inputs,Label,P-LABEL,RDC PA,0.333333333,2,1,79,Material,UPC Issue,,
